Month,Rate,Zone
9.0,12.496010709677401,3.0
9.0,13.7572282580645,7.0
9.0,10.7369441290323,13.0
9.0,11.201603225806501,17.0
9.0,10.9028938064516,18.0
9.0,11.865401935483902,22.0
9.0,11.9151868387097,24.0
9.0,13.7240383225806,30.0
9.0,13.7074433548387,38.0
9.0,12.396440903225802,48.0
10.0,12.548759,3.0
10.0,14.973995,7.0
10.0,11.060546,13.0
10.0,13.063203,17.0
10.0,12.401775,18.0
10.0,12.30991,22.0
10.0,13.981853,24.0
10.0,16.35197,30.0
10.0,13.338798,38.0
10.0,11.685228,48.0
11.0,10.4880196129032,3.0
11.0,11.9815667096774,7.0
11.0,10.156120258064501,13.0
11.0,11.9317818064516,17.0
11.0,11.102033419354802,18.0
11.0,11.068843483871,22.0
11.0,13.143214451612899,24.0
11.0,13.2925691612903,30.0
11.0,10.9526787096774,38.0
11.0,10.786175866666698,48.0
12.0,12.312359733333302,3.0
12.0,13.769951066666698,7.0
12.0,12.775359333333302,13.0
12.0,14.318691333333302,17.0
12.0,12.963988800000001,18.0
12.0,13.4955809333333,22.0
12.0,14.9636102608696,24.0
12.0,14.473024533333302,30.0
12.0,13.718506666666698,38.0
12.0,12.998285066666698,48.0
1.0,12.081136516129,3.0
1.0,12.2470861935484,7.0
1.0,11.201603225806501,13.0
1.0,13.126619483871,17.0
1.0,12.1143264516129,18.0
1.0,11.9317818064516,22.0
1.0,13.342354064516098,24.0
1.0,13.5248987096774,30.0
1.0,11.9981616774194,48.0
2.0,10.661408413793101,3.0
2.0,12.1408784,7.0
2.0,10.683287066666699,13.0
2.0,12.483841066666699,17.0
2.0,11.2491754666667,18.0
2.0,10.871916533333302,22.0
2.0,12.329507866666699,24.0
2.0,12.312359733333302,30.0
2.0,11.043397866666698,48.0
3.0,9.80762593548387,3.0
3.0,9.359561806451609,7.0
3.0,8.5132184516129,13.0
3.0,10.1002505333333,17.0
3.0,9.87400580645161,18.0
3.0,9.45913161290323,22.0
3.0,10.3060281333333,24.0
3.0,10.587589419354801,30.0
3.0,9.62508129032258,48.0
4.0,10.8862988387097,3.0
4.0,10.139525290322599,7.0
4.0,9.30977690322581,13.0
4.0,10.871916533333302,17.0
4.0,10.604184387096801,18.0
4.0,11.002463612903199,22.0
4.0,10.8210634482759,24.0
4.0,11.986545199999998,30.0
4.0,10.2556900645161,48.0
5.0,9.94591733333333,3.0
5.0,11.795466000000001,7.0
5.0,8.951325599999999,13.0
5.0,10.5975464,17.0
5.0,10.1114855172414,18.0
5.0,10.4662744827586,22.0
5.0,9.980213599999999,24.0
5.0,10.974805333333302,30.0
5.0,10.083102400000001,48.0
6.0,8.67916812903226,3.0
6.0,7.73325496774194,13.0
6.0,9.143827225806449,17.0
6.0,9.044257419354839,18.0
6.0,8.93417746666667,22.0
6.0,9.774436,24.0
6.0,9.92379070967742,30.0
6.0,8.795332903225809,48.0
7.0,15.7419864,3.0
7.0,18.9812096551724,7.0
7.0,13.855691733333302,13.0
7.0,14.794699862068999,17.0
7.0,13.992876800000001,18.0
7.0,15.227542399999999,22.0
7.0,15.038912933333302,24.0
7.0,17.6282810666667,30.0
7.0,16.067800933333302,48.0
8.0,12.089433999999999,3.0
8.0,13.7303329655172,7.0
8.0,9.4019075862069,13.0
8.0,10.9452395862069,17.0
8.0,10.4307955862069,18.0
8.0,11.6193386206897,22.0
8.0,11.974127586206901,24.0
8.0,13.2868467586207,30.0
8.0,11.5306413793103,48.0
9.0,12.51127808,3.0
9.0,11.952248933333301,7.0
9.0,8.96847373333333,13.0
9.0,10.6705642580645,17.0
9.0,10.305474967741901,18.0
9.0,10.2031393333333,22.0
9.0,11.5169076129032,24.0
9.0,12.1143264516129,30.0
9.0,10.7518796,48.0
10.0,14.4753897931034,3.0
10.0,16.7105602758621,7.0
10.0,13.393917000000002,13.0
10.0,16.388716,17.0
10.0,15.61705,18.0
10.0,14.9720943448276,22.0
10.0,16.131494,24.0
10.0,16.645938,30.0
10.0,14.6882631724138,48.0
11.0,12.5292006451613,3.0
11.0,14.3214571612903,7.0
11.0,10.8531089032258,13.0
11.0,14.138912516129,17.0
11.0,12.645365419354802,18.0
11.0,13.110024516129,22.0
11.0,13.740633290322599,24.0
11.0,13.939772903225801,30.0
11.0,12.1309214193548,48.0
12.0,13.5529384827586,3.0
12.0,14.8502834666667,7.0
12.0,12.7067668,13.0
12.0,15.210394266666698,17.0
12.0,13.6499141333333,18.0
12.0,13.358395866666699,22.0
12.0,14.9703204,24.0
12.0,14.8159872,30.0
12.0,13.169766399999999,48.0
1.0,9.64167625806452,3.0
1.0,11.583287483871,7.0
1.0,9.359561806451609,13.0
1.0,10.9194887741935,17.0
1.0,10.305474967741901,18.0
1.0,10.006765548387099,22.0
